NOVfilename,NOVtrial,NOVround,NOVdate,NOVsex,NOVcolor,NOVtime,NOVpart,fishID,NOVvid_length,NOVfamiliar_object,NOVnovel_object,NOVfamiliar_side,NOVnovel_side,NOVprop_left_alley,NOVprop_right_alley,NOVprop_upper_left_corner,NOVprop_upper_right_corner,NOVprop_left_interaction,NOVprop_right_interaction,NOVprop_lower_left_corner,NOVprop_lower_right_corner,NOVprop_sum_alley,NOVprop_sum_left,NOVprop_sum_right,NOVprop_sum_corner,NOVprop_familiar_alley,NOVprop_novel_alley,NOVprop_familiar_interaction,NOVprop_novel_interaction,NOVprop_sum_familiar,NOVprop_sum_novel,NOVprop_sum_interaction,NOVprop_familiar_interaction_and_corner,NOVprop_familiar_interaction_and_corner_of_interaction_and_corner_time,NOVlatency_to_enter_a_interaction,NOVlatency_to_enter_a_corner,NOVtime_of_first_right_interaction_entry,NOVtime_of_first_left_interaction_entry,NOVfirst_choice_left_or_right,NOVfirst_choice_familiar_or_novel,NOVprop_familiar_interaction_and_corner_following_first_familiar_entry,NOVdid_fish_enter_both_interaction_zones
NOV1_round4_0605_cooper_female_orange_1pm_tank3_2019-10-21T184426_982.csv,NOV1,round4,0605,female,orange,1pm,combined_originally,round4femaleorange,854.293,ball,tube,L,R,0.0018740642847360322,0.0014655393407180084,0.9944059005516842,0,0.0020192135485132085,0,0,0,0.0033396036254540406,0.9982991783849334,0.0014655393407180084,0.9944059005516842,0.0018740642847360322,0.0014655393407180084,0.0020192135485132085,0,0.9982991783849334,0.0014655393407180084,0.0020192135485132085,0.9964251141001974,1,3.054000000000002,4.778999999999996,2e3,146.286,L,familiar,1,0
NOV1_round4_0605_cooper_female_pink_1pm_tank3_2019-10-21T190341_083.csv,NOV1,round4,0605,female,pink,1pm,combined_originally,round4femalepink,93.32,ball,tube,L,R,0.010994427775396446,0,0.705722246035148,0,0.07560008572653229,0,0.2050042863266181,0,0.010994427775396446,0.9973210458636949,0,0.9107265323617662,0.010994427775396446,0,0.07560008572653229,0,0.9973210458636949,0,0.07560008572653229,0.9863266180882984,0.9999999999999999,1.2759999999999962,1.4269999999999925,2e3,108.902,L,familiar,1,0
NOV1_round4_0605_cooper_female_white_1pm_tank1_2019-10-21T191130_957.csv,NOV1,round4,0605,female,white,1pm,combined_originally,round4femalewhite,106.38,ball,tube,L,R,0.17177100958826858,0.14877796578304192,0.3143166008648243,0.23092686595224657,0.12456288776085708,0.007294604248919068,0,0,0.3205489753713105,0.61065049821395,0.38699943598420755,0.5452434668170709,0.17177100958826858,0.14877796578304192,0.12456288776085708,0.007294604248919068,0.61065049821395,0.38699943598420755,0.13185749200977614,0.4388794886256814,0.648174371789532,23.302000000000007,23.552000000000007,119.052,155.442,R,novel,1,1
NOV1_round4_0605_cooper_female_yellow_1pm_tank3_part1_2019-10-21T191658_827.csv,NOV1,round4,0605,female,yellow,1pm,combined_now,round4femaleyellow,848.319,ball,tube,L,R,0,0.0019462018415242503,0,0.5495385580188583,0,0.22852134633316018,0,0.21969447813853044,0.0019462018415242503,0,0.9997005843320732,0.7692330361573888,0,0.0019462018415242503,0,0.22852134633316018,0,0.9997005843320732,0.22852134633316018,0,0,1.9050000000000011,2.0549999999999784,151.455,2e3,R,novel,NA,0
NOV1_round4_0605_cooper_male_black_12pm_tank3_2019-10-22T141704_435.csv,NOV1,round4,0605,male,black,12pm,combined_originally,round4maleblack,673.6569999999999,ball,tube,L,R,0.052554935226680644,0.5544320032301304,0,0.35577601064042974,0,0.012444018246674553,0,0.0243848130428393,0.6069869384568111,0.052554935226680644,0.947036845160074,0.38016082368326903,0.052554935226680644,0.5544320032301304,0,0.012444018246674553,0.052554935226680644,0.947036845160074,0.012444018246674553,0,0,1.8000000000000114,5.305000000000007,149.251,2e3,R,novel,NA,0
NOV1_round4_0605_cooper_male_blue_12pm_tank2_2019-10-22T143518_128.csv,NOV1,round4,0605,male,blue,12pm,combined_originally,round4maleblue,677.108,ball,tube,L,R,0,0.06156772627114137,0,0.2355060049504658,0,0.09780862137207086,0,0.6048178429438138,0.06156772627114137,0,0.9997001955374918,0.8403238478942796,0,0.06156772627114137,0,0.09780862137207086,0,0.9997001955374918,0.09780862137207086,0,0,2.5079999999999814,2.7379999999999995,145.237,2e3,R,novel,NA,0
NOV1_round4_0605_cooper_male_green_12pm_tank3_part1_2019-10-22T145329_733.csv,NOV1,round4,0605,male,green,12pm,combined_now,round4malegreen,669.927,ball,tube,L,R,0.04139107693823359,0.043400251072131725,0.541347042289682,0.17934789909945392,0.045603476199645825,0.026980551612340004,0.091551766087947,0.03007790401043692,0.08479132801036532,0.7198933615155083,0.2798066057943626,0.8423246114875198,0.04139107693823359,0.043400251072131725,0.045603476199645825,0.026980551612340004,0.7198933615155083,0.2798066057943626,0.07258402781198582,0.6785022845772748,0.7416065992083821,0.6299999999999955,1.0319999999999965,2e3,118.435,L,familiar,0.6791409493842044,0
NOV1_round4_0605_cooper_male_orange_12pm_tank1_2019-10-23T150904_267.csv,NOV1,round4,0605,male,orange,12pm,combined_originally,round4maleorange,663.365,ball,tube,L,R,0.0527462256826936,0.0012436592222984373,0.02717206967506575,0,0.9105469839379526,0,0.00798956833718993,0,0.053989884904992035,0.9984548476329019,0.0012436592222984373,0.03516163801225568,0.0527462256826936,0.0012436592222984373,0.9105469839379526,0,0.9984548476329019,0.0012436592222984373,0.9105469839379526,0.9457086219502083,1,10.900000000000006,11.300000000000011,2e3,96.375,L,familiar,0.9615075138130013,0
NOV1_round4_0605_cooper_male_pink_12pm_tank4_2019-10-23T151747_282.csv,NOV1,round4,0605,male,pink,12pm,combined_originally,round4malepink,663.726,ball,tube,L,R,0.0027119624664394817,0,0.7453015250268934,0,0.0490036551227467,0,0.20215420218584162,0,0.0027119624664394817,0.9991713448019212,0,0.9474557272127351,0.0027119624664394817,0,0.0490036551227467,0,0.9991713448019212,0,0.0490036551227467,0.9964593823354817,0.9999999999999999,2.3500000000000085,2.549999999999997,2e3,127.9,L,familiar,1,0
NOV1_round4_0605_cooper_male_purple_12pm_tank1_part1_2019-10-23T153728_507.csv,NOV1,round4,0605,male,purple,12pm,combined_now,round4malepurple,677.487,ball,tube,L,R,0.04273144724548215,0.031919431664371486,0.3210910320050422,0.3101550288049807,0.011477711011429017,0.06642193872354749,0.09269550559641737,0.12310199310097461,0.07465087890985364,0.4679956958583707,0.5315983922938744,0.847043559507415,0.04273144724548215,0.031919431664371486,0.011477711011429017,0.06642193872354749,0.4679956958583707,0.5315983922938744,0.07789964973497653,0.42526424861288853,0.4597733616112677,1.25,1.4499999999999886,206.601,137.375,L,familiar,0.4260503344241738,1
NOV1_round4_0605_cooper_male_white_12pm_tank2_2019-10-23T184051_630.csv,NOV1,round4,0605,male,white,12pm,combined_originally,round4malewhite,686.365,ball,tube,L,R,0,0.0012019843669184805,0,0.019049631027223127,0,0.045092625643790074,0,0.9341822499690399,0.0012019843669184805,0,0.9995264910069714,0.953231880996263,0,0.0012019843669184805,0,0.045092625643790074,0,0.9995264910069714,0.045092625643790074,0,0,1.1500000000000057,1.6000000000000085,110.625,2e3,R,novel,NA,0
NOV1_round4_0605_cooper_male_yellow_12pm_tank1_2019-10-23T185711_931.csv,NOV1,round4,0605,male,yellow,12pm,combined_originally,round4maleyellow,681.809,ball,tube,L,R,0.028612118643197702,0,0.8088467591363565,0,0.06749984233121001,0,0.09504127988923577,0,0.028612118643197702,0.9999999999999999,0,0.9038880390255923,0.028612118643197702,0,0.06749984233121001,0,0.9999999999999999,0,0.06749984233121001,0.9713878813568022,0.9999999999999999,13.199999999999989,13.849999999999994,2e3,113.85,L,familiar,0.9905654874523077,0
NOV1_round5_0703_harry_female_black_10am_tank3_2019-10-28T181111_687.csv,NOV1,round5,0703,female,black,10am,combined_originally,round5femaleblack,684.442,weigh,cap,R,L,0.016524409665099372,0.011288027327370324,0.40797613238229113,0.2200084156144713,0.05772147238188189,0.0146893381762079,0.191965133641711,0.07946180976620362,0.027812436992469696,0.6741871480709833,0.3254475908842531,0.899411491404677,0.011288027327370324,0.016524409665099372,0.0146893381762079,0.05772147238188189,0.3254475908842531,0.6741871480709833,0.07241081055808979,0.3141595635568828,0.3232685264810059,3.7549999999999955,7.1299999999999955,566.235,145.66,L,novel,0.8266592852309775,1
NOV1_round5_0703_harry_female_blue_10am_tank2_2019-10-28T183630_572.csv,NOV1,round5,0703,female,blue,10am,combined_originally,round5femaleblue,689.897,weigh,cap,R,L,0.0415467816210246,0.007066272211648985,0.5735972181354609,0,0.19781213717409968,0,0.17983264168419347,0,0.048613053832673586,0.9927887786147787,0.007066272211648985,0.7534298598196544,0.007066272211648985,0.0415467816210246,0,0.19781213717409968,0.007066272211648985,0.9927887786147787,0.19781213717409968,0,0,33.638000000000005,42.84299999999999,2e3,170.572,L,novel,NA,0
