SPAfilename,SPAtrial,SPAround,SPAdate,SPAtank,SPAsex,SPAcolor,SPAtime,SPApart,fishID,SPAreward_side,SPAvid_length,SPAprop_right_platform,SPAprop_left_platform,SPAprop_right_corner,SPAprop_left_corner,SPAprop_right_wall,SPAprop_left_wall,SPAprop_neutral_zone,SPAprop_sum_platform,SPAprop_sum_corner,SPAprop_sum_corner_and_platform,SPAprop_sum_wall,SPAnumber_of_entries_total,SPAprop_correct_of_platform_time,SPAprop_correct_including_corners_of_total,SPAprop_correct_including_corners_of_corner_and_platform_time,SPAlatency_to_enter_a_wall,SPAlatency_to_enter_a_corner,SPAlatency_to_enter_a_platform,SPAlatency_to_enter_correct_platform,SPAlatency_to_enter_correct_corner,SPAfirst_choice_correct_or_incorrect_corner,SPAprop_correct_including_corners_following_first_correct_corner_entry
SPA4_round3_0605_audrey_female_white_4pm_tank3_2019-09-30T184450_603.csv,SPA4,round3,0605,tank3,female,white,4pm,combined_originally,round3femalewhite,R,679.952,0.10401469515495215,0,0.8723071628585547,0,0.021839776925430023,0,0.0012133209403016516,0.10401469515495215,0.8723071628585547,0.9763218580135069,0.021839776925430023,7,1,0.9763218580135069,1,1.25,16.099999999999994,367.85,367.85,16.099999999999994,correct,1
SPA4_round3_0605_audrey_male_black_4pm_tank2_part1_2019-09-30T190656_460.csv,SPA4,round3,0605,tank2,male,black,4pm,combined_now,round3maleblack,R,683.363,0.979074079222902,0,0.016499283689634946,0,0,0,0.00442663708746304,0.979074079222902,0.016499283689634946,0.995573362912537,0,7,1,0.995573362912537,1,NA,NA,431.56500000000005,431.56500000000005,NA,correct,1
SPA4_round3_0605_audrey_male_green_4pm_tank4_2019-09-30T193315_311.csv,SPA4,round3,0605,tank4,male,green,4pm,combined_originally,round3malegreen,R,253.49,0.8950648940786619,0,0.015385222296737566,0,0.024458558523018613,0,0.002169710836719442,0.8950648940786619,0.015385222296737566,0.9104501163753994,0.024458558523018613,6,1,0.9104501163753994,1,16.5,22.69999999999999,26.599999999999994,26.599999999999994,22.69999999999999,correct,1
SPA4_round3_0605_audrey_male_orange_4pm_tank2_part1_2019-09-30T191750_217.csv,SPA4,round3,0605,tank2,male,orange,4pm,combined_now,round3maleorange,R,683.991,0.3560719366190491,0.23094748322711844,0.11582608543094865,0.08179932192090242,0.008041041475691933,0.17876697208004202,0.015718043073666203,0.5870194198461676,0.19762540735185108,0.7846448271980186,0.18680801355573395,52,0.6065760766694229,0.47189802204999776,0.6014160874993012,2.5250000000000057,2.8000000000000114,4.450000000000017,4.450000000000017,2.8000000000000114,correct,0.47383773420376957
SPA4_round3_0605_audrey_male_pink_4pm_tank4_2019-09-30T193659_972.csv,SPA4,round3,0605,tank4,male,pink,4pm,combined_originally,round3malepink,R,253.38,0.9934880416765333,0,0.0010853263872444773,0,0,0,0.004341305548977797,0.9934880416765333,0.0010853263872444773,0.9945733680637777,0,4,1,0.9945733680637777,1,NA,1.375,1.6500000000000057,1.6500000000000057,1.375,correct,1
SPA4_round3_0605_audrey_male_purple_4pm_tank1_2019-09-30T193841_024.csv,SPA4,round3,0605,tank1,male,purple,4pm,combined_originally,round3malepurple,R,688.955,0.2438548236096697,0.44320746638024244,0.1337170061905351,0.01995776211799033,0.07565806184729063,0.012772967755513719,0.06324796249392173,0.6870622899899121,0.15367476830852542,0.8407370582984376,0.08843102960280434,40,0.35492389432878074,0.37757182980020476,0.4490962139391952,31.049999999999983,41.5,43.150000000000006,373.525,368.025,incorrect,0.8105505873554982
SPA4_round3_0605_audrey_male_white_4pm_tank3_2019-10-01T142235_978.csv,SPA4,round3,0605,tank3,male,white,4pm,combined_originally,round3malewhite,R,673.2330000000001,0,0,0,0.008615145128061094,0,0.28342045027501633,0.025251287444317195,0,0.008615145128061094,0.008615145128061094,0.28342045027501633,7,NaN,0,0,476.625,480.45000000000005,NA,NA,NA,incorrect,NA
SPA4_round3_0605_audrey_male_yellow_4pm_tank3_2019-10-01T141119_935.csv,SPA4,round3,0605,tank3,male,yellow,4pm,combined_originally,round3maleyellow,R,239.29999999999998,0.7561638111157544,0,0.06435436690346824,0,0.04304220643543674,0,0.0013581278729627609,0.7561638111157544,0.06435436690346824,0.8205181780192226,0.04304220643543674,10,1,0.8205181780192226,1,32.650000000000006,42.95000000000002,43.224999999999994,43.224999999999994,42.95000000000002,correct,1
SPA4_round4_0605_cooper_female_black_4pm_tank2_2019-10-02T180555_130.csv,SPA4,round4,0605,tank2,female,black,4pm,combined_originally,round4femaleblack,R,681.376,0.39328652608838605,0,0.49216585262762397,0,0.10324695909453811,0,0.004843140938336518,0.39328652608838605,0.49216585262762397,0.88545237871601,0.10324695909453811,28,1,0.88545237871601,1,7.699999999999989,9.900000000000006,47.29999999999998,47.29999999999998,9.900000000000006,correct,0.8985071692808083
SPA4_round4_0605_cooper_female_blue_4pm_tank1_part1_2019-10-02T184337_455.csv,SPA4,round4,0605,tank1,female,blue,4pm,combined_now,round4femaleblue,R,685.816,0.0012029465629264826,0,0.05128489274091014,0,0.007217679377558897,0,0.03503126202946568,0.0012029465629264826,0.05128489274091014,0.05248783930383662,0.007217679377558897,12,NaN,0.05248783930383662,NaN,640.019,649.819,652.844,652.844,649.819,correct,1
SPA4_round4_0605_cooper_female_green_4pm_tank4_2019-10-02T182150_688.csv,SPA4,round4,0605,tank4,female,green,4pm,combined_originally,round4femalegreen,R,666.9749999999999,0,0.97792271074628,0,0,0,0.0053600209902919735,0.0018741332133888505,0.97792271074628,0,0.97792271074628,0.0053600209902919735,7,0,0,0,10.324999999999989,14.724999999999994,14.724999999999994,NA,NA,incorrect,NA
SPA4_round4_0605_cooper_female_orange_4pm_tank2_2019-10-02T181706_563.csv,SPA4,round4,0605,tank2,female,orange,4pm,combined_originally,round4femaleorange,R,681.3,0,0.7269191252018201,0,0.04311610157052698,0,0.21983707617789522,0.009724056949948628,0.7269191252018201,0.04311610157052698,0.7700352267723471,0.21983707617789522,8,0,0,0,4.149999999999977,6.899999999999977,186.05,NA,NA,incorrect,NA
SPA4_round4_0605_cooper_female_pink_4pm_tank4_2019-10-02T182504_384.csv,SPA4,round4,0605,tank4,female,pink,4pm,combined_originally,round4femalepink,R,666.64,0.34857644305772234,0,0.6053342133685347,0,0,0,0.03123874954998211,0.34857644305772234,0.6053342133685347,0.9539106564262569,0,23,1,0.9539106564262569,1,NA,13.199999999999989,13.875,13.875,13.199999999999989,correct,0.9731803991185112
SPA4_round4_0605_cooper_female_white_4pm_tank3_2019-10-02T185556_961.csv,SPA4,round4,0605,tank3,female,white,4pm,combined_originally,round4femalewhite,R,671.111,0.9639776430426562,0,0.0073758290357332675,0,0.028572024598017335,0,7.450332359324008e-5,0.9639776430426562,0.0073758290357332675,0.9713534720783895,0.028572024598017335,5,1,0.9713534720783895,1,0.04999999999998295,19.224999999999994,24.174999999999983,24.174999999999983,19.224999999999994,correct,1
SPA4_round4_0605_cooper_female_yellow_4pm_tank3_2019-10-02T184812_389.csv,SPA4,round4,0605,tank3,female,yellow,4pm,combined_originally,round4femaleyellow,R,671.54,0.4660928611847396,0,0.4517452422789411,0,0.023341870923548877,0,2.9782291449506664e-4,0.4660928611847396,0.4517452422789411,0.9178381034636807,0.023341870923548877,21,1,0.9178381034636807,1,8.724999999999994,55.17499999999998,68.54999999999998,68.54999999999998,55.17499999999998,correct,1
SPA4_round4_0605_cooper_male_black_4pm_tank2_part1_2019-10-02T191141_819.csv,SPA4,round4,0605,tank2,male,black,4pm,combined_now,round4maleblack,R,684.141,0.3921340776243495,0.2965909074299013,0.005627494916983438,0.24813013691622027,0.005627494916983521,0.007235350607550265,0.037419186980461705,0.6887249850542507,0.2537576318332037,0.9424826168874545,0.012862845524533787,29,0.5693623523669046,0.3977615725413329,0.42203597754931454,405.07499999999993,0.549999999999983,1.6499999999999773,129.62499999999997,125.775,incorrect,0.4873595455310675
SPA4_round4_0605_cooper_male_green_4pm_tank4_2019-10-02T192758_796.csv,SPA4,round4,0605,tank4,male,green,4pm,combined_originally,round4malegreen,R,667.03,0,0.9895431989565686,0,0.010306882748901848,0,0,1.499182945294729e-4,0.9895431989565686,0.010306882748901848,0.9998500817054705,0,4,0,0,0,NA,0.09999999999999432,6.974999999999994,NA,NA,incorrect,NA
SPA4_round4_0605_cooper_male_orange_4pm_tank2_part1_2019-10-02T191917_957.csv,SPA4,round4,0605,tank2,male,orange,4pm,combined_now,round4maleorange,R,684.299,0,0,0,0,0,0,1,0,0,0,0,3,NaN,0,NaN,NA,NA,NA,NA,NA,incorrect,NA
SPA4_round4_0605_cooper_male_pink_4pm_tank4_2019-10-02T192222_846.csv,SPA4,round4,0605,tank4,male,pink,4pm,combined_originally,round4malepink,R,667.012,0,0.017803277902046742,0,0.8953062313721494,0,0.0749341840926399,0.007008869405647807,0.017803277902046742,0.8953062313721494,0.9131095092741961,0.0749341840926399,15,0,0,0,21.825000000000017,2.4750000000000227,7.975000000000023,NA,NA,incorrect,NA
SPA4_round4_0605_cooper_male_purple_4pm_tank1_2019-10-02T193015_706.csv,SPA4,round4,0605,tank1,male,purple,4pm,combined_originally,round4malepurple,R,689.838,0.004783731832691253,0.7158970656878859,0.05446931018586979,0.07204590063174277,0.06541390877278418,0.026056842331098017,0.01185060840371207,0.7206807975205771,0.12651521081761255,0.8471960083381896,0.0914707511038822,36,0.00663779560819319,0.05925304201856105,0.06994018082638084,18.125,1.0250000000000057,41.599999999999994,618.103,602.428,incorrect,0.4676238416657148
SPA4_round4_0605_cooper_male_white_4pm_tank3_2019-10-02T194423_024.csv,SPA4,round4,0605,tank3,male,white,4pm,combined_originally,round4malewhite,R,677.03,0.9925778769035346,0,0.002030929205500495,0,0.0036556725699009034,0,1.1077795666364656e-4,0.9925778769035346,0.002030929205500495,0.9946088061090351,0.0036556725699009034,6,1,0.9946088061090351,1,1.1749999999999972,3.6500000000000057,5.025000000000006,5.025000000000006,3.6500000000000057,correct,1
SPA4_round4_0605_cooper_male_yellow_4pm_tank3_2019-10-02T194030_133.csv,SPA4,round4,0605,tank3,male,yellow,4pm,combined_originally,round4maleyellow,R,676.615,0,0,0.9778648123378879,0,0.018070837921122084,0,7.389726801799717e-5,0,0.9778648123378879,0.9778648123378879,0.018070837921122084,11,NaN,0.9778648123378879,1,2.75,4.3999999999999915,NA,NA,4.3999999999999915,correct,0.9842654507858349
SPA4_round5_0703_harry_female_black_2pm_tank2_part1_2019-10-07T152336_586.csv,SPA4,round5,0703,tank2,female,black,2pm,combined_now,round5femaleblack,L,683.0640000000001,0.43636321047515314,0,0.1824133609734958,0,0.2878558963728142,0,0.008454551842872669,0.43636321047515314,0.1824133609734958,0.618776571448649,0.2878558963728142,33,0,0,0,22.25,43.125,385,57.28999999999999,50.763000000000005,incorrect,NA
SPA4_round5_0703_harry_female_blue_2pm_tank1_2019-10-07T184749_376.csv,SPA4,round5,0703,tank1,female,blue,2pm,combined_originally,round5femaleblue,L,683.3149999999999,0,0,0,0.012475944476559137,0,0.15333338211512978,0.040024000643919984,0,0.012475944476559137,0.012475944476559137,0.15333338211512978,25,NaN,0.012475944476559137,1,23.573999999999998,41.148999999999994,NA,NA,41.148999999999994,correct,0.013275383623549061
